attack,method,attack_success_rate,robust_accuracy,map50,map50_95,precision,recall
clean,YOLOv8,0.0,1.0,0.6279840902988224,0.4150811105091717,0.6099211164023429,0.6165749741081555
fgsm,YOLOv8,0.012448132780082987,0.9875518672199171,0.6816373392309313,0.47613331860153957,0.5980928085612592,0.662594696969697
fgsm,Image-only defense,0.012448132780082987,0.9875518672199171,0.6884232427339865,0.4783458668373727,0.6266994064442624,0.7403409090909091
pgd,YOLOv8,0.016597510373443983,0.983402489626556,0.6874463869427033,0.47876005964966645,0.6145580825012623,0.6924558080808082
pgd,Image-only defense,0.016597510373443983,0.983402489626556,0.6855375616207566,0.4750293582943968,0.6487312780872884,0.7087436868686868
patch,YOLOv8,0.3900414937759336,0.6099585062240664,0.40650505705218426,0.21930120876851303,0.4216433773172376,0.3816287878787879
patch,Image-only defense,0.3900414937759336,0.6099585062240664,0.4398154488380331,0.24472598831673548,0.4857152939604779,0.40309838335429876
sticker,YOLOv8,0.26141078838174275,0.7385892116182573,0.5052141422847785,0.2945232779858722,0.8834677367438554,0.439238700187842
sticker,Image-only defense,0.26141078838174275,0.7385892116182573,0.5661038572782847,0.3409561788261552,0.5517128545844726,0.5116461816376482
reflective,YOLOv8,0.8630705394190872,0.13692946058091282,0.15159726238961485,0.07598361395105016,0.22201426201389754,0.19460227272727273
reflective,Image-only defense,0.8630705394190872,0.13692946058091282,0.0997981143570739,0.04855414266207291,0.14611199224806282,0.12563131313131312
motion_blur,YOLOv8,0.6721991701244814,0.3278008298755186,0.2459631878666614,0.10607222246514497,0.7955882019749717,0.18434343434343434
motion_blur,Image-only defense,0.6721991701244814,0.3278008298755186,0.2825737086557517,0.12508226741731562,0.7911262350233624,0.21582125838531854
occlusion,YOLOv8,0.8008298755186722,0.19917012448132776,0.216333966249225,0.12465715903139725,0.26479711530133165,0.23773088759789385
occlusion,Image-only defense,0.8008298755186722,0.19917012448132776,0.32096678594586,0.1943039869079605,0.35298634692766234,0.32661047891624145
low_light,YOLOv8,0.029045643153526972,0.970954356846473,0.6512008795198106,0.4447151437759968,0.6237108326489301,0.5898042929292929
low_light,Image-only defense,0.029045643153526972,0.970954356846473,0.6455893056012422,0.441034434631253,0.9661973842404837,0.5417008831511517
