threshold,split,clips,accuracy,precision,recall,f1,fpr,tp,fp,tn,fn,frames,positive_frames,f1_ci_low,f1_ci_high,frame_metrics
0.35,calibration,10,0.5375,0.20437956204379562,0.9333333333333333,0.33532934131736525,0.5190476190476191,28,109,101,2,240,30,0.29885057471264365,0.3795620437956205,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_35\tcvm_frame_metrics.csv
0.35,heldout,20,0.46875,0.19047619047619047,1.0,0.32,0.6071428571428571,60,255,165,0,480,60,0.2948402948402949,0.35398230088495575,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_35\tcvm_frame_metrics.csv
0.35,all,30,0.49166666666666664,0.19469026548672566,0.9777777777777777,0.3247232472324723,0.5777777777777777,88,364,266,2,720,90,0.3033509700176367,0.3501945525291829,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_35\tcvm_frame_metrics.csv
0.4,calibration,10,0.6625,0.2571428571428571,0.9,0.39999999999999997,0.37142857142857144,27,78,132,3,240,30,0.33599999999999997,0.47244094488188976,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_40\tcvm_frame_metrics.csv
0.4,heldout,20,0.60625,0.24096385542168675,1.0,0.38834951456310685,0.45,60,189,231,0,480,60,0.3488372093023256,0.437956204379562,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_40\tcvm_frame_metrics.csv
0.4,all,30,0.625,0.2457627118644068,0.9666666666666667,0.39189189189189194,0.4238095238095238,87,267,363,3,720,90,0.35928143712574856,0.4307692307692308,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_40\tcvm_frame_metrics.csv
0.45,calibration,10,0.7875,0.36,0.9,0.5142857142857143,0.22857142857142856,27,48,162,3,240,30,0.4117647058823529,0.6382978723404256,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_45\tcvm_frame_metrics.csv
0.45,heldout,20,0.7375,0.3225806451612903,1.0,0.4878048780487805,0.3,60,126,294,0,480,60,0.43010752688172044,0.5581395348837209,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_45\tcvm_frame_metrics.csv
0.45,all,30,0.7541666666666667,0.3333333333333333,0.9666666666666667,0.49572649572649563,0.2761904761904762,87,174,456,3,720,90,0.44334975369458135,0.5559105431309904,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_45\tcvm_frame_metrics.csv
0.5,calibration,10,0.9041666666666667,0.574468085106383,0.9,0.7012987012987012,0.09523809523809523,27,20,190,3,240,30,0.574468085106383,0.8450704225352113,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_50\tcvm_frame_metrics.csv
0.5,heldout,20,0.8708333333333333,0.49137931034482757,0.95,0.6477272727272727,0.14047619047619048,57,59,361,3,480,60,0.570048309178744,0.7402597402597403,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_50\tcvm_frame_metrics.csv
0.5,all,30,0.8819444444444444,0.5153374233128835,0.9333333333333333,0.6640316205533598,0.1253968253968254,84,79,551,6,720,90,0.5955882352941175,0.7413793103448275,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_50\tcvm_frame_metrics.csv
0.55,calibration,10,0.95,0.75,0.9,0.8181818181818182,0.04285714285714286,27,9,201,3,240,30,0.7,0.9375,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_55\tcvm_frame_metrics.csv
0.55,heldout,20,0.95,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.047619047619047616,56,20,400,4,480,60,0.7499596774193548,0.900763358778626,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_55\tcvm_frame_metrics.csv
0.55,all,30,0.95,0.7410714285714286,0.9222222222222223,0.8217821782178217,0.046031746031746035,83,29,601,7,720,90,0.7596064814814815,0.8854166666666667,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_55\tcvm_frame_metrics.csv
0.6,calibration,10,0.9708333333333333,0.8709677419354839,0.9,0.8852459016393444,0.01904761904761905,27,4,206,3,240,30,0.761904761904762,0.967741935483871,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_60\tcvm_frame_metrics.csv
0.6,heldout,20,0.96875,0.835820895522388,0.9333333333333333,0.8818897637795275,0.02619047619047619,56,11,409,4,480,60,0.8088235294117647,0.9508196721311476,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_60\tcvm_frame_metrics.csv
0.6,all,30,0.9694444444444444,0.8469387755102041,0.9222222222222223,0.8829787234042554,0.023809523809523808,83,15,615,7,720,90,0.8186410739519547,0.9392265193370165,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_60\tcvm_frame_metrics.csv
0.65,calibration,10,0.975,0.9,0.9,0.9,0.014285714285714285,27,3,207,3,240,30,0.7741935483870969,1.0,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_65\tcvm_frame_metrics.csv
0.65,heldout,20,0.9708333333333333,0.859375,0.9166666666666666,0.8870967741935484,0.02142857142857143,55,9,411,5,480,60,0.819672131147541,0.9500000000000001,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_65\tcvm_frame_metrics.csv
0.65,all,30,0.9722222222222222,0.8723404255319149,0.9111111111111111,0.891304347826087,0.01904761904761905,82,12,618,8,720,90,0.8303938036580814,0.9456667835437119,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_65\tcvm_frame_metrics.csv
0.7,calibration,10,0.975,0.9,0.9,0.9,0.014285714285714285,27,3,207,3,240,30,0.7636363636363636,1.0,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_70\tcvm_frame_metrics.csv
0.7,heldout,20,0.9708333333333333,0.859375,0.9166666666666666,0.8870967741935484,0.02142857142857143,55,9,411,5,480,60,0.8188976377952756,0.9508196721311476,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_70\tcvm_frame_metrics.csv
0.7,all,30,0.9722222222222222,0.8723404255319149,0.9111111111111111,0.891304347826087,0.01904761904761905,82,12,618,8,720,90,0.8316805627931214,0.946236559139785,outputs\tcvm_analysis\public_helmet_multiclip30_occlusion\occlusion\tcvm_calibration_grid\thr_0_70\tcvm_frame_metrics.csv
