Threshold,Accuracy,Precision,Recall,F1,FPR,F1 CI Low,F1 CI High
0.25,0.31666666666666665,0.15463917525773196,1.0,0.2678571428571429,0.780952380952381,0.25862068965517243,0.27842227378190254
0.3,0.4083333333333333,0.1744186046511628,1.0,0.297029702970297,0.6761904761904762,0.2803738317757009,0.31662269129287596
0.35,0.5479166666666667,0.21245421245421245,0.9666666666666667,0.3483483483483483,0.5119047619047619,0.31662269129287596,0.38666666666666666
0.4,0.70625,0.2923076923076923,0.95,0.44705882352941173,0.32857142857142857,0.3863636363636363,0.5167464114832535
0.45,0.8354166666666667,0.42857142857142855,0.95,0.5906735751295336,0.18095238095238095,0.5125628140703518,0.6741573033707865
0.5,0.8458333333333333,0.325,0.21666666666666667,0.25999999999999995,0.06428571428571428,0.16981132075471697,0.35051546391752575
0.55,0.8666666666666667,0.16666666666666666,0.016666666666666666,0.0303030303030303,0.011904761904761904,0.0,0.0923076923076923
0.6,0.8729166666666667,0.0,0.0,0.0,0.002380952380952381,0.0,0.0
0.65,0.875,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.875,0.0,0.0,0.0,0.0,0.0,0.0
